AACHEN,Aachen
LESTKNI,Leicester Knighton Old Sidings Chief Civil Engineer
LESTLIP,Leicester Loco Inspection Point
LESTRNJ,Leicester North Junction
LESTPBX,Leicester Power Box
LESTSGF,Leicester Saffron Lane Ground Frame
LESTSPS,Leicester Saffron Lane Power Station
LEST325,Leicester Signal LR325
LEST326,Leicester Signal LR326
LEST327,Leicester Signal LR327
LEST397,Leicester Signal LR397
LEST399,Leicester Signal LR399
LEST421,Leicester Signal LR421
LEST426,Leicester Signal LR426
LESTRSJ,Leicester South Junction
LEIGBUS,Leigh Fleur-De-Lis Public House
LEIGHK,Leigh (Kent)
LHONSEA,Leigh-On-Sea
LTNBZRD,Leighton Buzzard
LEISTON,Leiston by bus
LEITBCC,Leith Docks Blue Circle
LEITFPA,Leith Docks Forth Ports
LEITGTX,Leith Docks GATX
LEITSAI,Leith Docks SAI
LEITCLR,Leith Lafarge Colas Rail
LEITHS,Leith South
LEITHFH,Leith South Freightliner/Lafarge
LEITSSS,Leith South Storage Services
LELANT,Lelant
LELANTS,Lelant Saltings
LENHAM,Lenham
LENHAMX,Lenham Crossover (CTRL)
LENHLP,Lenham Heath Loop (CTRL)
LENHMLP,Lenham Passenger Loop
LENH334,Lenham Signal ME334
LENHUS6,Lenham Up Siding No 6
LENHUS8,Lenham Up Siding No 8
LENS,Lens
LENTNNJ,Lenton North Junction
LENTNSJ,Lenton South Junction
LNTRAN,Lentran
LENZIE,Lenzie
LEOMNST,Leominster
LEOMBUS,Leominster Bus Station
LEOMSB,Leominster Signal Box
LERWICK,Lerwick
LESAORL,Les Aubrais-Orleans
LSTREM,Lestrem
LTCEADL,Letchworth Arrival/Departure Line
LTCEMUS,Letchworth Carriage Servicing Depot
LTCEREC,Letchworth Carriage Sidings Reception/National Power
LTCE,Letchworth Garden City
LETEILA,Le Teil (Ardeche)
LTRSTNJ,Letterston Junction
LEUCHRS,Leuchars
LEUCDS,Leuchars Down Siding
LEUCHMD,Leuchars MOD
LEUCS15,Leuchars Signal LE15
LEVEN,Leven
LVHM,Levenshulme
LVHMSJN,Levenshulme South Junction
LEVE585,Leven Signal ETL585
LEVE587,Leven Signal ETL587
LEVISHM,Levishamsee also Pickering Levisham
LEWES,Lewes
LEWESDS,Lewes Down Tamper Siding
LEWESSB,Lewes Signal Box
LEWES58,Lewes Signal LW58
LEWESUS,Lewes Up Siding
LEWISHM,Lewisham
CATZ023,Lewisham For The Games
LEWI122,Lewisham Signal L122
LEWI238,Lewisham Signal L238
LEWI242,Lewisham Signal L242
LEWI249,Lewisham Signal L249
LEWI253,Lewisham Signal L253
LEWI375,Lewisham Signal L375
LEWI538,Lewisham Signal L538
LEWIVLJ,Lewisham Vale Junction
LEYBURN,Leyburn
LEYLAND,Leyland
LEYLBLM,Leyland British Leyland
LEYLGB,Leyland Sidings GB Railfreight
LETNCMD,Leyton Carriage Maintenance Depot
LEYTLUL,Leyton LT
LEYTNMR,Leyton Midland Road
LYTNSHR,Leytonstone High Road
LEYTSTO,Leyton Supermarket
LCHC,Lichfield City
LCHCCS,Lichfield City Carriage Sidings
LCHCHAM,Lichfield City Hammerwich
LCHTCUR,Lichfield Curborough Junction
LICDSDG,Lichfield Down Siding
LCHTNJ,Lichfield North Junction Low Level
LCHT306,Lichfield Signal LS1306
LCHT308,Lichfield Signal LS1308
LCHT131,Lichfield Signal LS1310
LCHTPDC,Lichfield Terminal Complex LL PDC
LCHTFIN,Lichfield Trent Valley Fine Lane Level Crossing
LCHTHAD,Lichfield Trent Valley Hademore Crossing
LCHTTVH,Lichfield Trent Valley High Level
LCHTTVJ,Lichfield Trent Valley Junction
LCHTTVL,Lichfield Trent Valley Low Level
LCHTCE,Lichfield Trent Valley Low Level Civil Engineer's Siding
LCHTRR,Lichfield Trent Valley Low Level Rom River
LCHT259,Lichfield Trent Valley Signal LS1259
LCHT303,Lichfield Trent Valley Signal LS1303
LDLNGTN,Lidlington
LIEGE,Liege
LIFODEJ,Lifford East Junction
LIFOMOS,Lifford Moseley
LIFODWJ,Lifford West Junction
LIFTON,Lifton Arundell Arms Hotel
LGHTCLF,Lightcliffe Junction
LTMRJN,Lightmoor Junction
LILLDEL,Lille Deliverance
LILLE,Lille Europe
LILLEFL,Lille Flandres
LILLEPF,Lille-Port-Fluvial
LILBDGE,Lillie Bridge Depot LUL
LMBRYRF,Limbury Road (Luton) Freightliner Heavy Haul
LMBRYRG,Limbury Road (Luton) GB Railfreight
LMBRYNG,Limbury Road (Luton) North Ground Frame
LMBRDSL,Limbury Road (Luton) Reversing Line
LMBRYSG,Limbury Road (Luton) South Ground Frame
LMBRYRD,Limbury Road (Luton) Yard Tarmac Topmix
LIMHSE,Limehouse
LMKLSSB,Lime Kiln Siding Signal Box
LIMERIC,Limerick Colbert
LIMERCJ,Limerick Junction
LINCLNC,Lincoln [Central]
LINCHCS,Lincoln Holmes Carriage Holding Sidings
LINCLHY,Lincoln Holmes Yard/Storage Sidings
LINCOLN,Lincoln St Marks
LINCFHH,Lincoln Terrace Sidings Freightliner Heavy Haul
LINCGBF,Lincoln Terrace Sidings GB Railfreight
LINDFRD,Lindford (Liphook Road)
LINDLA,Lindleys Lane (Kirkby South Junction)
LNDSRPG,Lindsey Refinery Rail Port GB Railfreight
LINFST,Linford Street Junction
LINGFLD,Lingfield
LNGFDSB,Lingfield Signal Box
LGWOOD,Lingwood
LINKLIN,Link Line (Paddington)
LSTFORT,Linkswood St Fort
LSTFCOL,Linkswood St Fort Colas
LNLTHGW,Linlithgow
LNLTHCE,Linlithgow Down Civil Engineer's Sidings
LNLT622,Linlithgow Signal EL622
LNLT951,Linlithgow Signal EL951
LNLTUPL,Linlithgow Up Passenger Loop
ZZTYLIN,Lintley
LINZ,Linz
LIPHOOK,Liphook
LIPSONJ,Lipson Junction
CATZLBN,Lisburn
LISKARD,Liskeard
LISKDGF,Liskeard Ground Frame
LISKSID,Liskeard Sidings
LISK260,Liskeard Signal DM260
LISK9,Liskeard Signal LD9
LISMORE,Lismore
LISS,Liss
LTHH,Lisvane & Thornhill
LBRF,Little Barford Monier
LBRFTMP,Little Barford Tempsford
LBRFIBS,Little Barford Tempsford Intermediate Block Section
LITLBRO,Littleborough
LTBWJN,Little Bowden Junction
LBRDFJN,Little Bridgeford Junction
LTLBYLP,Littlebury Loop
LTLETNX,Little Eaton Crossing
LTLETNJ,Little Eaton Junction
LTLHMPT,Littlehampton
LTLHCS,Littlehampton Carriage Holding Sidings
LTLHMJN,Littlehampton Junction
LTLHOSH,Littlehampton Outside Shed 'TPS'
LTLHSHD,Littlehampton Shed
LHMPTSB,Littlehampton Signal Box
LTLH11,Littlehampton Signal LH11
LTLHUSD,Littlehampton Up Siding
LTLHUPS,Littlehampton Up Sidings 1 & 2
LTLHWSR,Littlehampton Wash Road
LHVNBUS,Littlehaven (Lambs Farm Road)
LTLHVSB,Littlehaven Signal Box
LTLKMBL,Little Kimble
LTTLMLJ,Little Mill Junction
LITTLEM,Littlemore
LTLPORT,Littleport
LTLPL22,Littleport Signal L22
LTLPL24,Littleport Signal L24
LSOMFD,Little Somerford
LTLSUTN,Little Sutton
LTLCLSF,Littleton Colliery Shunt Frame
LVRPBAL,Liverpool Baltic
LVRPGBF,Liverpool Biomass Terminal GB Railfreight
LVRPBTL,Liverpool Bulk Terminal
LVRPCW,Liverpool Bulk Terminal Carriage And Wagon GB Railfreight
LVRPFLF,Liverpool Bulk Terminal Fastline Freight
LVRPFHH,Liverpool Bulk Terminal Freightliner Heavy Haul
LVRPGBR,Liverpool Bulk Terminal GB Railfreight
LVRPLCH,Liverpool Central High Level
LVRPLCL,Liverpool Central Low Level
LVRPCRS,Liverpool Central Reversing Siding
LVRP017,Liverpool Central Signal ML1017
LVRPSIH,Liverpool Central Stock Interchange High Level
LVRPLCS,Liverpool Crown Street Junction
LVRPEMG,Liverpool European Metals Recycling GB Railfreight
LVRPEMR,Liverpool European Metals Recycling Mersey Dock & Harbour Company
LVRPLFP,Liverpool Ferryport
LVRPGDE,Liverpool Gladstone Dock English Welsh & Scottish Railway
LVRPJLA,Liverpool John Lennon Airport
LVRPLSG,Liverpool Landing Stage
LVRPLLD,Liverpool Langton Dock
LVRPLSP,Liverpool Leeds Street Portal
LVRPCUT,Liverpool Lime Street Cutting
LVRPLSH,Liverpool Lime Street High Level
LVRPLHS,Liverpool Lime Street Loco Holding Siding Virgin Trains
LVRPLSL,Liverpool Lime Street Low Level
LVRPLPD,Liverpool Princes Dock
LVRPSJS,Liverpool St James
LVRPSPY,Liverpool South Parkway
LVRPSPH,Liverpool South Parkway High Levelformerly Allerton
LVRPSTG,Liverpool Stanton Grove
LVNSTNN,Livingston North
LVNSTNS,Livingston South
LNAB,Llanaber Halt
LANBDRN,Llanbadarn
LBDR,Llanbedr
LLBSTRD,Llanbister Road
LLBRDCH,Llanbradach
LLANDAF,Llandaf
LLANMAI,Llandaf Maindy Bridge
LNDW,Llandanwg
LLDARCY,Llandarcy
LNDC,Llandecwyn
LLDEILO,Llandeilo
LLDEGEN,Llandeilo Genwen Junction
LLDEGL,Llandeilo Goods Loop
LLDELOJ,Llandeilo Junction
LLDEJUR,Llandeilo Junction Up Reception
LLDELWJ,Llandeilo West Junction
LLDVERY,Llandovery
LLDVNLC,Llandovery North Level Crossing
LLDRSB,Llandre Stop Board
LLDODW,Llandrindod
LLDODGF,Llandrindod Crossing
LLDOWAT,Llandrindod Waterloo Siding
LUDO,Llandudno
LANDUDJ,Llandudno Junction
LANDJCS,Llandudno Junction Carriage Siding
LANDLSD,Llandudno Junction Loco Inspection Point
LAND56,Llandudno Junction Signal LJ56
LAND69,Llandudno Junction Signal LJ69
LAND70,Llandudno Junction Signal LJ70
LAND74,Llandudno Junction Signal LJ74
LAND260,Llandudno Junction Signal LJ260
LANDTC,Llandudno Junction Terminal Complex
LANDTFH,Llandudno Junction Terminal Complex Freightliner Heavy Heaul
LANDTGB,Llandudno Junction Terminal Complex GB Railfreight
LLDYBIE,Llandybie
LLNCSBI,"Llandysul Church Street Bus ""IC"""
LLNLLI,Llanelli
LLNLDJE,Llanelli Dock Junction East
LLNLDSD,Llanelli Dock Sidings
LLNL701,Llanelli Signal PT3701
LLFAIRC,Llanfair Caereinion
LANFRFC,Llanfairfechan
LANFABR,Llanfairfechan Aber Ground Frame
LFPW,Llanfairpwll
LLGADOG,Llangadog
LLGMMRW,Llangammarch
LLGL,Llangelynin
LLGNNCH,Llangennech
LLANGPS,Llangollen Parade Street
LLNGYFL,Llangyfelach
LLNG536,Llangyfelach Signal PT3536
LLNG541,Llangyfelach Signal PT3541
LLNG543,Llangyfelach Signal PT3543
LLGUNLO,Llangynllo
LLHARAN,Llanharan
LLHARNO,Llanharan Opencast
LLHLETH,Llanhilleth
LLHLABY,Llanhilleth Abertillery
LLISHEN,Llanishen
LNRWST,Llanrwst
LLNSMLT,Llansamlet
LLSTPHX,Llanstephan Level Crossing
LLTRNMJ,Llantarnham Junction
LLNYSDG,Llanthony Sidings
LLTRSNT,Llantrisant
LLTRROC,Llantrisant Rockwell
LLNWTMR,Llantwit Major
LWERCAF,Llanwern CAF Works
LWERSDG,Llanwern Coal Siding
LWERCOA,Llanwern Coal Yard
LLWEAFL,Llanwern Corus AFL
LWERXSG,Llanwern Exchange Sidings
LLWEGBF,Llanwern Exchange Sidings GB Railfreight
LWERMSS,Llanwern Middle Steel Supplies
LWERSTN,Llanwern Old Station
LWERNRG,Llanwern 'RG' Colas
LLWESWE,Llanwern Steelworks East
LLWESWW,Llanwern Steelworks West
LWERHCF,Llanwern Tata Distribution 'HCF'
LWERTSG,Llanwern Tippler Siding
LWERWJN,Llanwern West Junction
LLWRDA,Llanwrda
LLWRTYW,Llanwrtyd
LLWRW2,Llanwrtyd Signal W2
CROY19,Lloyd Park Tram
LYNGRIL,Llwyngwril
LLWYNYP,Llwynypia
LLYNFIJ,Llynfi Junction
LLYNOPB,Llyn Ogwen Pen Y Benglog
LCHALRT,Lochailort
LOCHAWE,Loch Awe
LCHBSDL,Lochboisdale via Oban Ship
LCEILOB,Loch Eil Outward Bound
LCHESDE,Locheilside
LCHGLLY,Lochgelly
LCHLCHR,Lochluichart
LCHMADY,Lochmaddy
LCHRDGJ,Lochridge Junction
LCHWNCH,Lochwinnoch
LCHW171,Lochwinnoch Signal PE171
LCKRBIE,Lockerbie
LCKRBCE,Lockerbie Civil Engineer's Sidings
LCKRDPL,Lockerbie Down Passenger Loop
LCKRDS,Lockerbie Down Sidings
LCKRUPL,Lockerbie Up Passenger Loop
LCKRUPS,Lockerbie Up Sidings
LOCKCEJ,Lock Lane Chellaston East Junction
LOCKLAX,Lock Lane Crossing
LKWD,Lockwood
LDGFXSB,Lodge Farm Crossing Signal Box
LONDNBS,London Baker Street
LNDNBDG,London Bridge
LNDNASJ,London Bridge Abbey Street Junction
LNDNBAL,London Bridge Ballast
LNDNBCJ,London Bridge Brunswick Court Junction
LNDNBDC,London Bridge (Central) (Platforms 14 - 16)
LNDNBDE,London Bridge (Eastern) (South Eastern Platforms)
CATZ042,London Bridge For The Games
LNDNB9,London Bridge Platform 9
LNDNB10,London Bridge Platform 10
LNDNB11,London Bridge Platform 11
LNDNB12,London Bridge Platform 12
LNDNB13,London Bridge Platform 13
LNDNB14,London Bridge Platform 14
LNDNB15,London Bridge Platform 15
LNDNB16,London Bridge Platform 16
LNDNBDE,London Bridge Signal Box
LNDN490,London Bridge Signal L1490
LNDN109,London Bridge Signal TL5109
LNDN110,London Bridge Signal TL5110
LDRY,Londonderry
LNDHNDJ,Londonderry Hendon Junction
LONDEUR,London Eurostar (CIV)
LONFLDS,London Fields
THLGFLI,London Gateway Portsee also Thames Haven Freightliner
LHRBHC,London Hatton Cross
LHRBT1,London Heathrow Terminal 1 South West Trains Bussee also Heathrow Terminal 1 Bus
LHRBT2,London Heathrow Terminal 2 South West Trains Bussee also Heathrow Terminal 2 Bus
LHRBT3,London Heathrow Terminal 3 South West Trains Bussee also Heathrow Terminal 3 Bus
LHRBT4,London Heathrow Terminal 4 South West Trains Bussee also Heathrow Terminal 4 Bus
LONDINT,London International
LIVST,London Liverpool Street
LIVSTBL,London Liverpool Street Ballast
LIVSTLL,London Liverpool Street Crossrail
CATZ041,London Liverpool Street For The Games
LIVSTHS,London Liverpool Street Loco Holding Siding
LLGL,London Midland Region Headquarters Input
LRDDEAC,London Road Depot [Elephant & Castle]
LNGANPS,Longannet Power Station
LNGAFHH,Longannet Power Station Freightliner Heavy Haul
LNGANSB,Longannet Signal Box
LONGBCK,Longbeck
LONB,Longbridge
LONBAP,Longbridge Assembly Plant
LONBE,Longbridge Car Terminal
LONBRS,Longbridge Reversing Sidings
LONB23,Longbridge Signal SY23
LONB24,Longbridge Signal SY24
LNGBKBY,Long Buckby
LNGBAP,Long Buckby Althorp Park
LNGBCB,Long Buckby Church Brampton
LNGBWL,Long Buckby Watford Lodge
LNGDYKJ,Long Dyke Junction
LNGEATN,Long Eaton
LNGEDRY,Long Eaton Draycott
LNGENMS,Long Eaton Murphy's Sidings
LNGETNX,Long Eaton Town Crossing
LNGU,Longeau
LNGFLDJ,Longfield Junction
CATZLFO,Longford
LFGNLC,Longforgan Level Crossing
LNGHDGJ,Longhedge Junction
LNGLNDJ,Longlands Junction
LNLNSB,Long Lane Signal Box
LNGMGBR,Long Marston GB Railfreight
LNGMSTN,Long Marston MOD
LNGMVWR,Long Marston Victa Westlink Rail
LMAR,Long Marton Viaduct
LMEGSD,Long Meg Sidings
LNGNDRY,Longniddry
LNDDAP,Longniddry Automatic Power Change Over Point
LNGP,Longport
LNGPFHH,Longport Bradwell Up Sidings
LNGPTPG,Longport Bradwell Up Sidings GB Railfreight
LNGPCS,Longport Carless Solvents
LNGPTDS,Longport Down Sidings
LNGPTFD,Longport Freight Depot
LNGPTFD,Longport Freight Depot English Welsh & Scottish Railway Longport Freight Depot DB Schenker Longport Freight Depot DB Cargo
LNGPTGS,Longport Grading Sidings
LNGPJN,Longport Junction
LNGPLRC,"Longport ""LR"" Colas"
LNGPTPS,Longport Pinnox Branch Esso Sidings
LNGPTPG,Longport Pinnox Branch Sidings GB Railfreight
LNGPSD,Longport Siding
LNGP573,Longport Signal SOT573
LPRESTN,Long Preston
LNGROCK,Long Rock
LNGSGHT,Longsight
LNGSTCS,Longsight Carriage Maintenance Depot
LNGSEUR,Longsight Diesel Multiple Unit Depot Siemens (was Eurostar Depot)
LNGSDGL,Longsight Down Goods Loop
LNGSEPL,Longsight Excursion Platform
LNGS999,Longsight Fuel Point Virgin Trains
LNGSTHS,Longsight Holding Sidings
LNGSEUR,Longsight Manchester International Depot
LNGSTN,Longsight North
LNGSGNS,Longsight NS
LNGSSTH,Longsight South
LNGSTMD,Longsight Traction Maintenance Depot (Diesel)
LNGSEMD,Longsight Traction Maintenance Depot (Electric)
LNGSUDL,Longsight Up & Down Goods Loop
LNGSWL,Longsight Wheel Lathe
LNGSFLW,Longsight Wheel Lathe Freightliner
LNTN,Longton
LNGTMOD,Longtown Ministry Of Defence (Army CAD)
LNGTDRS,Longtown Ministry Of Defence Direct Rail Services
LNGTGBF,Longtown Ministry Of Defence GB Railfreight
LNGTSDG,Longtown Siding
LNGON,Longuyon
LOOE,Looe
LSTG,Lostock Gralam
LSTH,Lostock Hall
LSTHJN,Lostock Hall Junction
LOSTCKJ,Lostock Junction
LOSTCKP,Lostock Parkway also called Lostock
LSTWTHL,Lostwithiel
LSTWCSG,Lostwithiel Clay Sidings
LSTWDGL,Lostwithiel Down Goods Loop
LSTW4,Lostwithiel Signal LL4
LSTWUGL,Lostwithiel Up Goods Loop
LOTH,Loth
LOGHBRO,Loughborough
LOGHARC,Loughborough ARC
LOGHBSH,Loughborough Brush
LOGHEL,Loughborough East Leake
LOGHBGM,Loughborough East Leake British Gypsum
LOGHHOH,Loughborough Hotchley Hill
LOGHBNJ,Loughborough North Junction
LOGH675,Loughborough Signal LR675
LOGHBSJ,Loughborough South Junction
LOGHUNI,Loughborough University
LOUNJN,Lounge Junction
LOUNSLC,Lounge Swannington Level Crossing
LOVR243,Lovers Walk Signal T1243
LOVR246,Lovers Walk Signal T1246
LOVR247,Lovers Walk Signal T1247
LOVR250,Lovers Walk Signal T1250
LOVR255,Lovers Walk Signal T1255
LOVR262,Lovers Walk Signal T1262
LOVR267,Lovers Walk Signal T1267
LOVRSWS,Lovers Walk Traction & Rolling Stock Maintenance Depot
LOWDHAM,Lowdham
LWELRSJ,Low Ellers Curve Junction
LSYDNHM,Lower Sydenham
LOWSTFT,Lowestoft
LOWSCE,Lowestoft Civil Engineer's Sidings
LOWSTFR,Lowestoft Reception
LOWSL6,Lowestoft Signal L6
LOWSL57,Lowestoft Signal L57
LOWS395,Lowestoft Signal YL8395
LOWFECE,Low Fell Infrastructure Servicing Unit (Civil Engineer)
LOWFELJ,Low Fell Junction
LOWFELS,Low Fell Reception
LOWFRMT,Low Fell Royal Mail Terminal
LOWFGBR,Low Fell Royal Mail Terminal GB Railfreight
LOWF201,Low Fell Signal T201
LOWF203,Low Fell Signal T203
LOWF228,Low Fell Signal T228
LOWGATS,Low Gates Level Crossing
LWGILL,Lowgill
LOWHXSB,Low House Crossing Signal Box
LOWMOOR,Low Moor
LOWRWSB,Low Row Signal Box
LOWRDEN,Low Row Upper Denton AHB Crossing
LOWTONJ,Lowton Junction
LUDGMOD,Ludgershall MOD
LUDGGBF,Ludgershall MOD GB Railfreight
LUDLOW,Ludlow
LUDLCST,Ludlow Corve Street
LUFNHMJ,Luffenham Junction
LUGTON,Lugton
LUGTKMA,Lugton Kemira
LUINO,Luino
LUNCARY,Luncarty
LUTON,Luton
LUTNAIR,Luton Airport
LUTOAPY,Luton Airport Parkway
CATZ016,Luton Airport Parkway Dart
LUTOALM,Luton Alma Street
LUTOBRI,Luton Bridge Street/Galaxy Centre
LUTOBUS,Luton Bus
LUTONCS,Luton Centre Sidings
LUTOCRD,Luton Crescent Road
LUTOFHH,Luton Crescent Road Freightliner Heavy Haul
LUTOGBR,Luton Crescent Road GB Railfreight
LUTONEL,Luton North End Loop
LUTONNJ,Luton North Junction
LUTO575,Luton Signal WH575
LUTO581,Luton Signal WH581
LUTO614,Luton Signal WH614
LUTO616,Luton Signal WH616
LUTONSJ,Luton South Junction
LUTOTC,Luton Terminal Complex
LUTONUS,Luton Up Sidings
LUXULYN,Luxulyan
LYDCEGB,Lydd Dungeness CEGB
LYDDEN,Lydden
LYDDTWN,Lydd Town
LYDDARC,Lydd Town ARC
LYDDTNS,Lydd Town Shunt
LYDFD,Lydford War Memorial/Village
LYDNEY,Lydney
LYDNQDF,Lydney Dean Forest Railway
LYDNDUL,Lydney Down & Up Loops
LYDNDGL,Lydney Down Goods Loop
LYDNJCT,Lydney Junction
LYDNNOR,Lydney Norchard
LYDN182,Lydney Signal N182
LYDN415,Lydney Signal NT1415
LYDN416,Lydney Signal NT1416
LYDN419,Lydney Signal NT1419
LYDNUGL,Lydney Up Goods Loop
LYEE,Lye
LYMERSQ,Lyme Regis Square
LYMPSTC,Lympstone Commando
LYMPSTN,Lympstone Village
LYNDPKH,Lyndhurst Park Hotel
LYNDHRD,Lyndhurst Roadsee also Ashurst New Forest
LYNECMP,Lyneham Camp Main Gate
LYNMABJ,Lynemouth Alcan Branch Junction
LYNMTHA,Lynemouth Alcan English Welsh & Scottish Railway Lynemouth Alcan DB Schenker International Lynemouth Alcan DB Cargo International
LYNMTHL,Lynemouth Alcan Loadhaul
LYNMACS,Lynemouth Coal Sidings
LYNMFHH,Lynemouth Power Station Freightliner Heavy Haul
LYNMGBF,Lynemouth Power Station GB Railfreight
LYNMTHC,Lynemouth RJB Mining
LYNMSGB,Lynemouth Smelter GB Railfreight
LYNMTH,Lynmouth Coach Park
LYNTON,Lynton Castle Hill
LYONGUI,Lyon Guillotiere
LYONVEN,Lyon Venissieux
LYTHAM,Lytham
MACLSFD,Macclesfield
MACL833,Macclesfield South Turnback
MACHENQ,Machen Quarry
MACHFHH,Machen Quarry Freightliner Heavy Haul
MACHENR,Machen Run Round
MCHYNLT,Machynlleth
MCHYNCS,Machynlleth Carriage Sidings
MCHYGLA,Machynlleth Glandyfi
MCHYYNY,Machynlleth Ynyslas
MACONVL,Macon-Ville
MADELYC,Madeley Chord Line (Staffs)
MADEJN,Madeley Junction (Salop)
MADE490,Madeley Junction Signal MJ490
MADE491,Madeley Junction Signal MJ491
MADELEY,Madeley (Staffs)
MADEWH,Madeley Whitmore
CATZQBL,Maerdy via Porth Interchange
MASGLAS,Maesglas Tip
MAEMAWR,Maesmawr
MAESTGW,Maesteg
MAESTCW,Maesteg Central Washery
MAESTER,Maesteg (Ewenny Road)
MAESTGF,Maesteg Ground Frame
MAGHULL,Maghull
MAGHNTH,Maghull North
MAGOR,Magor
MDVLLT,Maida Vale LT
MDNHEAD,Maidenhead
MDNHDCS,Maidenhead Carriage Sidings
MDNHCE,Maidenhead Civil Engineer's Sidings
MDNHDE,Maidenhead East
CATZ030,Maidenhead For Eton Dorney
MDNHDRS,Maidenhead Reversing Sidings
MAIS171,Maidenhead Signal S171 Marlow Branch
MDNH291,Maidenhead Signal S291
MDNHDW,Maidenhead West
MAIDNLJ,Maiden Lane Junction
MDNNWTN,Maiden Newton
MSTONEB,Maidstone Barracks
MDSTESB,Maidstone East Signal Box
MSTO9,Maidstone East Signal ME9
MSTO14,Maidstone East Signal ME14
MSTOWCS,Maidstone West Carriage Siding
MDSTNSB,Maidstone West Signal Box
MSTOW57,Maidstone West Signal MS57
MSTO108,Maidstone West Signal MS108
MSTOWUS,Maidstone West Up Sidings
MAINCE,Maindee Civil Engineer's Depot
MAINDEJ,Maindee East Junction
MAINDNJ,Maindee North Junction
MAINDWJ,Maindee West Junction
MINZHBF,Mainz Hbf
MALDENM,Malden Manor
MLAIG,Mallaig
MLAIGCE,Mallaig Civil Engineer's Sidings
MLAIGGF,Mallaig Ground Frame
MALRSTG,Mallerstang
MALLOW,Mallow
MLTBFLF,Maltby Colliery Fastline Freight
MLTBFHH,Maltby Colliery Freightliner Heavy Haul
MLTBCGB,Maltby Colliery GB Railfreight
MLTBCGB,Maltby Colliery GB Railfreight
MLTBNCB,Maltby Colliery National Coal Board/RJB Mining
MLTBCLS,Maltby Colliery Signal Box
MLTBLFL,Maltby Down Loop
MALTON,Malton
MALTBTH,Malton Barton Hill
MALTKKA,Malton Kirkham Abbey Signal Box
MALTKNA,Malton Knapton
MALTS5,Malton Signal M5
MALTUSD,Malton Up Sidings Freightliner Heavy Haul
MLVRNLK,Malvern Link
MLVRNWL,Malvern Wells
MLVRWLP,Malvern Wells Loop
MNCRAMM,Manchester Abraham Moss Metrolink
MNCRIAP,Manchester Airport
MNCMTLK,Manchester Airport Metrolink
MNCRATS,Manchester Airport Tarmac Sidings
MNCRANC,Manchester Anchorage Metrolink
MNCRAML,Manchester Ashton Moss Metrolink
MNCRALM,Manchester Ashton Under Lyne Metrolink
MNCRAWM,Manchester Ashton West Metrolink
MNCRASM,Manchester Audenshaw Metrolink
MNCRBWY,Manchester Broadway Metrolink
MNCRBST,Manchester Bromley Street Junction
MNCRBRM,Manchester Burton Road Metrolink
MNCRCRM,Manchester Cemetery Road Metrolink
MNCRCEM,Manchester Central Park Metrolink
CATZMCZ,Manchester Central Zone
MNCRCHM,Manchester Chorlton Metrolink
MNCRCHB,Manchester Clayton Hall Metrolink
MNCRCBK,Manchester Cornbrook Metrolink
MNCRDST,Manchester Deal Street Junction
MNCRDS3,Manchester Deal Street No 3 Sidings
MNCRDLN,Manchester Dean Lane
